Timestamp;DayOfWeek;TimeStamp_Count;Vent_HRVTempExhaustOut;Vent_HRVTempOutdoorin;Vent_HRVTempReturnIn;Vent_HRVTempSupplyOut;Vent_HRVfreshairpressuredifferential;Vent_HRVstaleairpressuredifferential
2013-07-01 00:01:14-04:00;Monday;1;21;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:02:14-04:00;Monday;1;21;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:03:14-04:00;Monday;1;21;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:04:14-04:00;Monday;1;21;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:05:14-04:00;Monday;1;21;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:06:14-04:00;Monday;1;21;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:07:14-04:00;Monday;1;27;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:08:14-04:00;Monday;1;27;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:09:14-04:00;Monday;1;27;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:10:14-04:00;Monday;1;27;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:11:14-04:00;Monday;1;27;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-02 01:42:30-04:00;Tuesday;1519;21;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:43:30-04:00;Tuesday;1519;21;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:44:30-04:00;Tuesday;1519;21;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:45:30-04:00;Tuesday;1519;21;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:46:30-04:00;Tuesday;1519;21;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:47:30-04:00;Tuesday;1519;21;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:48:30-04:00;Tuesday;1519;27;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:49:30-04:00;Tuesday;1519;27;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:50:30-04:00;Tuesday;1519;27;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:51:30-04:00;Tuesday;1519;27;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:52:30-04:00;Tuesday;1519;27;24.242877588893712;22.15495641471218;24.568699520779763;;
2013-07-02 01:53:30-04:00;Tuesday;1519;27;24.242877588893712;22.15495641471218;24.568699520779763;;